date,portfolio_value,cumulative_return,drawdown
2024-07-09,939060000.0,-0.060939999999999994,0.0
2024-07-10,941058619.8306817,-0.05894138016931827,0.0
2024-07-11,944893005.2098298,-0.05510699479017023,0.0
2024-07-12,936563426.6250746,-0.06343657337492536,-0.008815366966237081
2024-07-15,941872883.2728887,-0.05812711672711135,-0.003196258116304418
2024-07-16,943300713.382546,-0.05669928661745405,-0.0016851556932948597
2024-07-17,936619367.9194515,-0.06338063208054856,-0.008756163126153127
2024-07-18,930853307.2075453,-0.06914669279245467,-0.014858505592563631
2024-07-19,925203971.2021896,-0.07479602879781044,-0.020837315864422057
2024-07-22,917909491.6233501,-0.08209050837664988,-0.028557215936303337
2024-07-23,923583302.035006,-0.07641669796499395,-0.022552503889148312
2024-07-24,919869064.4885166,-0.08013093551148343,-0.026483359050537447
2024-07-25,904923246.1860491,-0.09507675381395087,-0.042300830679664836
2024-07-26,905255618.7380766,-0.09474438126192342,-0.04194907386678248
2024-07-29,912136438.7804298,-0.08786356121957017,-0.03466695832098554
2024-07-30,906266530.8970096,-0.09373346910299041,-0.040879204417692216
2024-07-31,910684737.2881734,-0.08931526271182655,-0.03620332432671547
2024-08-01,913174660.5614989,-0.08682533943850113,-0.03356818652847082
2024-08-02,887585553.8470323,-0.1124144461529677,-0.06064967255215459
2024-08-05,841317417.4611564,-0.1586825825388436,-0.109616207525711
2024-08-06,858762100.574372,-0.14123789942562792,-0.09115413508255454
2024-08-07,867401564.7782928,-0.13259843522170722,-0.0820108096940867
2024-08-08,860698169.5198169,-0.13930183048018308,-0.08910515288587195
2024-08-09,870210646.0559367,-0.12978935394406332,-0.07903790031476488
2024-08-12,877563009.6524162,-0.12243699034758382,-0.07125674037819951
2024-08-13,877795439.9476322,-0.1222045600523678,-0.07101075454283567
2024-08-14,883965026.9114512,-0.11603497308854882,-0.06448135181702241
2024-08-16,899087395.7616407,-0.10091260423835935,-0.04847703305626361
2024-08-19,890034194.8607948,-0.10996580513920517,-0.05805822463131971
2024-08-20,896955603.7691292,-0.1030443962308708,-0.050733153041021106
2024-08-21,896907828.0612,-0.10309217193879994,-0.050783715070442104
2024-08-22,896876783.548536,-0.10312321645146405,-0.05081657012650975
2024-08-23,895938900.1304846,-0.1040610998695154,-0.051809151734035885
2024-08-26,892482402.9392222,-0.10751759706077779,-0.05546723489499106
2024-08-27,890163162.172498,-0.10983683782750198,-0.05792173583206717
2024-08-28,893748582.707285,-0.10625141729271492,-0.05412721040430102
2024-08-29,884279320.7006241,-0.1157206792993759,-0.06414872813641515
2024-08-30,888812898.7873907,-0.11118710121260933,-0.059350747770627765
2024-09-02,888438475.1574948,-0.11156152484250526,-0.0597470081173882
2024-09-03,885439770.0012546,-0.11456022999874549,-0.06292060040742142
2024-09-04,865271184.5289086,-0.1347288154710914,-0.0842654356016106
2024-09-05,862386586.748276,-0.13761341325172405,-0.08731826567308731
2024-09-06,856221462.1435144,-0.14377853785648564,-0.09384294579112096
2024-09-09,855105713.4109495,-0.14489428658905057,-0.09502376597543072
2024-09-10,856155952.1410226,-0.14384404785897742,-0.09391227639483013
2024-09-11,853699670.9382262,-0.14630032906177382,-0.09651181008727283
2024-09-12,866701696.7511128,-0.13329830324888714,-0.08275149464288101
2024-09-13,866862784.5530053,-0.13313721544699464,-0.08258101205807589
2024-09-19,871561383.8651593,-0.12843861613484076,-0.07760838628325539
2024-09-20,874711819.0708942,-0.12528818092910576,-0.0742742149132013
2024-09-23,878410139.7580371,-0.12158986024196294,-0.07036020489645711
2024-09-24,882875785.3008463,-0.11712421469915368,-0.06563411896060278
2024-09-25,878183946.5309383,-0.12181605346906177,-0.07059958991238124
2024-09-26,891828121.3389705,-0.10817187866102951,-0.05615967477616712
2024-09-27,887316627.2643783,-0.11268337273562168,-0.06093428317068095
2024-09-30,877181435.6176136,-0.12281856438238647,-0.07166056814779753
2024-10-02,872905316.4855821,-0.12709468351441788,-0.07618607432516822
2024-10-04,877384839.2695158,-0.12261516073048428,-0.07144530181522801
2024-10-07,888211853.5597733,-0.11178814644022672,-0.059986846486888123
2024-10-08,883220528.322984,-0.11677947167701597,-0.06526927022086526
2024-10-10,888454258.8477471,-0.11154574115225291,-0.05973030390837697
2024-10-11,887742336.280576,-0.11225766371942403,-0.060483746428583784
2024-10-14,895806655.9101154,-0.10419334408988468,-0.05194910855416268
2024-10-15,900669962.3668079,-0.09933003763319204,-0.0468021697686305
2024-10-16,894615477.8209114,-0.10538452217908856,-0.053209757201825636
2024-10-17,898542425.1271931,-0.10145757487280693,-0.04905378685954376
2024-10-18,896162252.5005608,-0.10383774749943919,-0.05157277325642551
2024-10-21,898871377.9133803,-0.10112862208661977,-0.048705649256266526
2024-10-22,893835282.2823464,-0.10616471771765368,-0.05403545443343105
2024-10-23,899217685.9397414,-0.10078231406025862,-0.04833914423987662
2024-10-24,893521069.3961064,-0.10647893060389368,-0.0543679924927748
2024-10-25,896026271.361627,-0.10397372863837306,-0.05171668493550874
2024-10-28,899065770.8122976,-0.10093422918770245,-0.048499919191756
2024-10-29,899525975.2030686,-0.10047402479693135,-0.04801287527436682
2024-10-30,897161223.4327966,-0.10283877656720342,-0.0505155414569225
2024-10-31,889261186.3138946,-0.11073881368610539,-0.058876315719557204
2024-11-01,883445377.6246687,-0.11655462237533132,-0.06503130750927255
2024-11-04,889746874.1818553,-0.11025312581814473,-0.0583623021060764
2024-11-05,888101421.6213408,-0.11189857837865924,-0.060103718913526616
2024-11-06,897746901.6240115,-0.1022530983759885,-0.049895705996202855
2024-11-07,902788667.4234862,-0.09721133257651382,-0.044559899961365
2024-11-08,902847689.2457383,-0.09715231075426178,-0.04449743593429889
2024-11-11,901462040.3116808,-0.09853795968831924,-0.045963897138284415
2024-11-12,894923000.8819823,-0.10507699911801771,-0.05288429912416459
2024-11-13,884074403.9507012,-0.11592559604929875,-0.06436559581221868
2024-11-14,883750957.3722079,-0.11624904262779212,-0.06470790608090515
2024-11-15,881306715.0559008,-0.11869328494409914,-0.06729469876836325
2024-11-18,884468606.9381801,-0.11553139306181992,-0.06394840255826795
2024-11-19,885968228.7452235,-0.11403177125477648,-0.06236132148265927
2024-11-20,888043625.683139,-0.11195637431686101,-0.06016488556190169
2024-11-21,887874164.6791158,-0.11212583532088427,-0.060344229681382866
2024-11-22,893107655.2476252,-0.10689234475237475,-0.05480551731960881
2024-11-25,900859985.7643853,-0.09914001423561469,-0.04660106403863806
2024-11-26,898668258.66611,-0.10133174133389,-0.048920614597474765
2024-11-27,896159369.8021101,-0.10384063019788992,-0.05157582407639649
2024-11-28,893430085.0551025,-0.10656991494489754,-0.05446428312092233
2024-11-29,888051187.86181,-0.11194881213819008,-0.06015688235029015
2024-12-02,889727274.0926187,-0.11027272590738124,-0.05838304528983218
2024-12-03,897332805.2127479,-0.10266719478725206,-0.05033395287598763
2024-12-04,895311208.078338,-0.10468879192166203,-0.052473451341171984
2024-12-05,896539300.7228614,-0.10346069927713863,-0.051173735248712715
2024-12-06,895014492.4247513,-0.10498550757524872,-0.05278747171379694
2024-12-09,891747446.647829,-0.10825255335217099,-0.056245054486564694
2024-12-10,894464921.8997934,-0.10553507810020657,-0.05336909367726561
2024-12-11,898556375.6094122,-0.10144362439058785,-0.04903902277287764
2024-12-12,905652264.7673076,-0.09434773523269235,-0.041529295090726226
2024-12-13,905636442.7023681,-0.0943635572976319,-0.04154603991247041
2024-12-16,906051633.5687016,-0.09394836643129834,-0.041106634748029225
2024-12-17,905365969.9154267,-0.09463403008457327,-0.041832286911284156
2024-12-18,908618912.6782082,-0.09138108732179173,-0.03838962965290049
2024-12-19,894982205.0002841,-0.10501779499971597,-0.05282164216938212
2024-12-20,887623701.1060617,-0.1123762988939383,-0.060609300511278996
2024-12-23,900387273.4770111,-0.09961272652298891,-0.04710134532420995
2024-12-24,901935469.1809767,-0.09806453081902322,-0.04546285747910006
2024-12-26,905835949.6211151,-0.09416405037888487,-0.041334897573976015
2024-12-27,905003706.0568104,-0.09499629394318965,-0.042215678318161864
2024-12-30,902705628.3922801,-0.09729437160771992,-0.04464778190222851
2025-01-02,899319618.6954367,-0.10068038130456325,-0.048231266675820894
2025-01-03,905395551.291404,-0.09460444870859597,-0.041800980323327463
2025-01-06,916364682.2611165,-0.08363531773888344,-0.030192119945239848
2025-01-07,914346158.5589539,-0.08565384144104615,-0.032328365732893216
2025-01-08,915802522.5301275,-0.0841974774698725,-0.030787065328356622
2025-01-09,916303575.824369,-0.08369642417563106,-0.03025679016336047
2025-01-10,916324075.1168863,-0.0836759248831137,-0.030235095333994266
2025-01-13,907971336.8261731,-0.09202866317382696,-0.03907497270070026
2025-01-14,911179169.2844832,-0.08882083071551683,-0.03568005661959561
2025-01-15,910817190.9510016,-0.08918280904899833,-0.036063145849260514
2025-01-16,921323916.1580868,-0.07867608384191327,-0.024943659146369868
2025-01-17,922845156.24418,-0.07715484375582005,-0.023333698994579488
2025-01-20,921787620.64305,-0.07821237935695002,-0.02445291100620317
2025-01-21,920728704.0629675,-0.07927129593703242,-0.025573584536691674
2025-01-22,929374907.7627704,-0.07062509223722957,-0.016423126598988147
2025-01-23,927003841.4001427,-0.07299615859985731,-0.01893247564650402
2025-01-24,931260992.9877768,-0.06873900701222324,-0.01442704321747601
2025-01-31,927096039.6401029,-0.0729039603598971,-0.01883490032374069
2025-02-03,910016680.7032356,-0.0899833192967644,-0.03691034256185366
2025-02-04,917503719.225056,-0.08249628077494398,-0.028986653339328594
2025-02-05,918951302.9693494,-0.08104869703065065,-0.0274546452322606
2025-02-06,927152368.0187413,-0.07284763198125876,-0.018775286824299187
2025-02-07,924585771.2483395,-0.07541422875166048,-0.021491569785703657
2025-02-10,923560424.700902,-0.07643957529909806,-0.022576715449587392
2025-02-11,927454165.714317,-0.07254583428568306,-0.018455888020506905
2025-02-12,929754342.7340976,-0.07024565726590237,-0.01602156264493715
2025-02-13,933876700.6881905,-0.06612329931180949,-0.01165878513323626
2025-02-14,936149644.0632124,-0.06385035593678756,-0.009253281692646054
2025-02-17,937968362.4039763,-0.0620316375960237,-0.007328494091577875
2025-02-18,943161295.6933719,-0.056838704306628074,-0.00183270434526428
2025-02-19,949410400.2897203,-0.050589599710279654,0.0
2025-02-20,944860005.8367366,-0.05513999416326343,-0.004792863498856881
2025-02-21,943782521.0563052,-0.056217478943694776,-0.005927762358299171
2025-02-24,935211463.4215425,-0.06478853657845751,-0.014955531205308903
2025-02-25,930584030.5164926,-0.06941596948350737,-0.019829538171777683
2025-02-26,932209307.7255533,-0.06779069227444667,-0.018117657610363214
2025-02-27,932531527.7447205,-0.06746847225527952,-0.017778268007016873
2025-02-28,917770566.272221,-0.08222943372777902,-0.03332577145546767
2025-03-04,916975905.9320011,-0.08302409406799893,-0.03416277549500357
2025-03-05,916309170.3514683,-0.0836908296485317,-0.03486503826811971
2025-03-06,915675270.6997683,-0.08432472930023172,-0.03553271544071712
2025-03-07,909689787.468552,-0.090310212531448,-0.04183713682623158
2025-03-10,911319828.3675389,-0.08868017163246111,-0.04012023874033577
2025-03-11,902339592.1554996,-0.09766040784450047,-0.049578989359982395
2025-03-12,904633391.7413266,-0.09536660825867338,-0.04716296401927944
2025-03-13,904233652.4740885,-0.0957663475259114,-0.04758400350559222
2025-03-14,907195691.336015,-0.09280430866398504,-0.04446413157136597
2025-03-17,914760294.8326302,-0.0852397051673699,-0.03649644605379965
2025-03-18,919987311.6695238,-0.08001268833047614,-0.03099090615735589
2025-03-19,920423982.0872647,-0.07957601791273539,-0.030530967633818018
2025-03-20,928064345.055776,-0.07193565494422405,-0.022483485779627443
2025-03-21,927425136.1175507,-0.07257486388244927,-0.023156755145573027
2025-03-24,930037063.1147879,-0.06996293688521205,-0.020405650885033988
2025-03-25,931116507.2549113,-0.06888349274508865,-0.019268688260868472
2025-03-26,934496126.0276347,-0.06550387397236523,-0.015708985553069876
2025-03-27,925340869.1194861,-0.0746591308805139,-0.02535208289575208
2025-03-28,917192866.8382293,-0.08280713316177069,-0.03393425376597892
2025-03-31,899502175.6756544,-0.10049782432434562,-0.05256759837351266
2025-04-01,907037127.6818638,-0.09296287231813627,-0.044631144334342676
2025-04-02,905467823.3156439,-0.0945321766843561,-0.04628406952427211
2025-04-03,895402458.0070416,-0.10459754199295845,-0.05688577064902356
2025-04-04,879291555.4238133,-0.12070844457618668,-0.07385514719926134
2025-04-07,836731549.3286572,-0.16326845067134288,-0.11868297516719672
2025-04-08,850565649.5174658,-0.14943435048253417,-0.10411172106613875
2025-04-09,836451379.9840738,-0.1635486200159263,-0.11897807341395905
2025-04-10,878874384.6452185,-0.1211256153547815,-0.07429454703990723
2025-04-11,872036106.782479,-0.127963893217521,-0.08149720445829312
2025-04-14,874047353.9352295,-0.1259526460647704,-0.07937878743638482
2025-04-15,878364872.9956793,-0.12163512700432078,-0.07483120816072897
2025-04-16,868332221.8996421,-0.1316677781003579,-0.08539845188691475
2025-04-17,871379678.1999911,-0.12862032180000893,-0.08218861102208008
2025-04-18,873618498.2591457,-0.12638150174085427,-0.07983049480756277
2025-04-21,870384551.2439243,-0.12961544875607578,-0.08323676359736598
2025-04-22,865410791.2364632,-0.13458920876353686,-0.08847555180312328
2025-04-23,881856826.210827,-0.11814317378917305,-0.07115318523820546
2025-04-24,883578745.977272,-0.11642125402272796,-0.0693395124936057
2025-04-25,894648445.561089,-0.10535155443891098,-0.057679960859834956
2025-04-28,895062985.4995772,-0.10493701450042281,-0.05724333204434939
2025-04-29,900050986.353646,-0.099949013646354,-0.05198954416447499
2025-04-30,896086153.4990131,-0.1039138465009869,-0.056165644250826485
2025-05-02,898248223.9172267,-0.1017517760827733,-0.05388836730341384
2025-05-07,900234954.6599612,-0.09976504534003883,-0.0517957730553118
2025-05-08,902550998.6108061,-0.09744900138919388,-0.049356318052356185
2025-05-09,902999038.922468,-0.09700096107753209,-0.048884403786907726
2025-05-12,914237458.5341482,-0.08576254146585183,-0.037047141831223596
2025-05-13,923391506.3993015,-0.07660849360069844,-0.0274053179557322
