date,portfolio_value,cumulative_return,drawdown
2024-07-09,730768500.0,-0.26923149999999996,0.0
2024-07-10,732538633.0603212,-0.2674613669396788,0.0
2024-07-11,734823527.439017,-0.265176472560983,0.0
2024-07-12,729913670.721921,-0.2700863292780791,-0.00668168142929193
2024-07-15,733017533.5744679,-0.26698246642553214,-0.0024577246061286973
2024-07-16,734429267.5301155,-0.2655707324698845,-0.0005365368611367494
2024-07-17,729055172.3936496,-0.2709448276063504,-0.007849986874360337
2024-07-18,724682271.2884766,-0.2753177287115234,-0.013800941004004641
2024-07-19,721313097.0202451,-0.27868690297975496,-0.018385952428412455
2024-07-22,716133054.6341866,-0.28386694536581336,-0.02543532168869156
2024-07-23,720527699.607971,-0.2794723003920291,-0.019454776959672793
2024-07-24,718437535.9716866,-0.2815624640283134,-0.022299219956168792
2024-07-25,707582717.2672362,-0.2924172827327638,-0.03707122751869363
2024-07-26,707565913.401952,-0.2924340865980479,-0.03709409541099262
2024-07-29,711655666.8894328,-0.2883443331105672,-0.031528468651960795
2024-07-30,707516887.9056304,-0.2924831120943696,-0.0371608127852886
2024-07-31,710252002.2315255,-0.2897479977684745,-0.03343867512398169
2024-08-01,711871364.7483724,-0.2881286352516276,-0.031234931699365642
2024-08-02,695357942.4647914,-0.30464205753520857,-0.0537075685529147
2024-08-05,666982358.7715243,-0.33301764122847566,-0.09232307640438597
2024-08-06,677821204.807896,-0.322178795192104,-0.07757280558202007
2024-08-07,683313766.9772215,-0.31668623302277854,-0.07009813722393421
2024-08-08,678877753.6757237,-0.32112224632427633,-0.07613497890884602
2024-08-09,684850662.1033889,-0.31514933789661115,-0.06800662127652868
2024-08-12,690113383.3536085,-0.3098866166463915,-0.06084473675091884
2024-08-13,690155053.9962715,-0.30984494600372847,-0.060788028383389814
2024-08-14,694340045.6148041,-0.3056599543851959,-0.05509279481742324
2024-08-16,704359087.327702,-0.295640912672298,-0.04145817189262935
2024-08-19,697645884.0327543,-0.3023541159672457,-0.050593975312457795
2024-08-20,701933261.0716116,-0.2980667389283883,-0.04475940840113479
2024-08-21,702164107.2645166,-0.2978358927354834,-0.04444525652073772
2024-08-22,701812896.7018408,-0.29818710329815923,-0.04492320877670297
2024-08-23,701044182.1146762,-0.29895581788532377,-0.04596933013572324
2024-08-26,698316841.0563897,-0.3016831589436103,-0.049680889382868965
2024-08-27,696664486.1424514,-0.30333551385754864,-0.05192953120262267
2024-08-28,699529921.0120968,-0.30047007898790323,-0.048030044097695734
2024-08-29,692946316.412883,-0.30705368358711693,-0.05698948041590757
2024-08-30,696012706.9151367,-0.3039872930848633,-0.05281651862610137
2024-09-02,695004706.2140182,-0.3049952937859818,-0.054188277508987914
2024-09-03,693026660.2861611,-0.3069733397138389,-0.05688014277186393
2024-09-04,680129008.4523036,-0.3198709915476964,-0.07443218261850293
2024-09-05,678197638.7557759,-0.3218023612442241,-0.07706052755359072
2024-09-06,674102787.2730759,-0.32589721272692407,-0.08263309202627611
2024-09-09,674393739.7980387,-0.32560626020196126,-0.08223714318400532
2024-09-10,675036799.9782789,-0.3249632000217211,-0.08136202125849856
2024-09-11,673723579.2839451,-0.3262764207160549,-0.08314914516688865
2024-09-12,682189204.6774582,-0.31781079532254186,-0.07162852140159193
2024-09-13,681967214.6210011,-0.31803278537899893,-0.0719306212230697
2024-09-19,685143975.8827893,-0.3148560241172107,-0.06760745907166221
2024-09-20,687394879.9455265,-0.3126051200544735,-0.06454426909653721
2024-09-23,689924067.9726951,-0.3100759320273049,-0.061102370555287
2024-09-24,692844125.3047018,-0.30715587469529815,-0.05712854932751066
2024-09-25,690261361.1787369,-0.30973863882126307,-0.06064335802581977
2024-09-26,698811757.2045188,-0.3011882427954812,-0.04900737236871733
2024-09-27,695783419.0694441,-0.3042165809305559,-0.05312854979702997
2024-09-30,689420854.629709,-0.31057914537029097,-0.06178717898097785
2024-10-02,686815279.0348772,-0.31318472096512284,-0.06533303114484734
2024-10-04,689562988.8367307,-0.31043701116326927,-0.061593752666067814
2024-10-07,696759222.0720615,-0.30324077792793847,-0.05180060782704654
2024-10-08,693499923.0247643,-0.30650007697523574,-0.056236093253944186
2024-10-10,696610354.5150948,-0.3033896454849052,-0.05200319736236758
2024-10-11,696008587.2571579,-0.303991412742842,-0.05282212494901417
2024-10-14,701503559.4312302,-0.2984964405687698,-0.04534417688545245
2024-10-15,704449354.8620776,-0.2955506451379224,-0.04133532942637064
2024-10-16,700836111.931,-0.29916388806899996,-0.04625248680655192
2024-10-17,703431902.1989113,-0.2965680978010887,-0.042719951209933105
2024-10-18,700845671.84747,-0.29915432815252996,-0.04623947699383757
2024-10-21,702918355.0959927,-0.29708164490400735,-0.043418822549434744
2024-10-22,699223225.076094,-0.300776774923906,-0.04844741769087879
2024-10-23,702989667.970529,-0.297010332029471,-0.043321774929328205
2024-10-24,699043816.5515128,-0.3009561834484872,-0.04869156954214915
2024-10-25,701049578.0670896,-0.29895042193291044,-0.04596198694077658
2024-10-28,702265831.8987889,-0.2977341681012111,-0.044306822419931446
2024-10-29,702345035.777488,-0.29765496422251203,-0.04419903616140608
2024-10-30,701273076.7299986,-0.2987269232700014,-0.04565783410058655
2024-10-31,696583509.6973598,-0.3034164903026402,-0.05203972969527815
2024-11-01,692822465.6714084,-0.30717753432859163,-0.0571580252934869
2024-11-04,697100797.2188452,-0.3028992027811548,-0.05133576812876672
2024-11-05,696521252.6324527,-0.3034787473675473,-0.052124453527031434
2024-11-06,701738931.5625142,-0.2982610684374858,-0.04502386578694373
2024-11-07,704625540.8084364,-0.2953744591915636,-0.04109556308822293
2024-11-08,705235070.2633228,-0.2947649297366771,-0.040266072153153476
2024-11-11,704616727.6729183,-0.2953832723270817,-0.04110755662842547
2024-11-12,699969000.7919308,-0.3000309992080692,-0.047432513175728164
2024-11-13,692568770.4470026,-0.3074312295529974,-0.057503271757341934
2024-11-14,692263465.471944,-0.30773653452805605,-0.057918752432168374
2024-11-15,690915739.5028741,-0.3090842604971259,-0.05975283356695027
2024-11-18,691994582.4811438,-0.30800541751885613,-0.05828466748627292
2024-11-19,692869342.6289257,-0.30713065737107437,-0.057094231803258566
2024-11-20,693872426.8193791,-0.3061275731806209,-0.0557291636569659
2024-11-21,693961308.9099395,-0.30603869109006043,-0.05560820660096333
2024-11-22,696947013.4590583,-0.3030529865409417,-0.05154504798174431
2024-11-25,702060895.2430146,-0.2979391047569854,-0.04458571476363271
2024-11-26,701021032.6134447,-0.29897896738655527,-0.04600083361971241
2024-11-27,699096109.1753976,-0.30090389082460234,-0.048620406028826335
2024-11-28,697309444.9635834,-0.3026905550364166,-0.0510518254718606
2024-11-29,694085355.0767913,-0.30591464492320875,-0.05543939577466328
2024-12-02,694879556.5859102,-0.30512044341408984,-0.05435859000366838
2024-12-03,700320990.2409198,-0.29967900975908013,-0.046953500955997374
2024-12-04,699216764.6807449,-0.3007832353192551,-0.04845620945530649
2024-12-05,700956795.0642029,-0.29904320493579706,-0.046088252635085536
2024-12-06,699805020.133547,-0.30019497986645305,-0.04765566969189927
2024-12-09,697748560.6884128,-0.30225143931158727,-0.050454245633392736
2024-12-10,699928804.1977082,-0.3000711958022918,-0.04748721555353941
2024-12-11,703104009.9540294,-0.29689599004597056,-0.043166170244351654
2024-12-12,707620537.305268,-0.2923794626947319,-0.037019759327189705
2024-12-13,707469930.5127192,-0.2925300694872809,-0.0372247157377088
2024-12-16,707665617.8050689,-0.29233438219493113,-0.03695841058410043
2024-12-17,707710597.8562975,-0.29228940214370247,-0.03689719853855611
2024-12-18,709891519.2444606,-0.2901084807555394,-0.03392924595303681
2024-12-19,701715578.2630024,-0.29828442173699765,-0.04505564661409445
2024-12-20,696710410.4075074,-0.3032895895924925,-0.0518670342038996
2024-12-23,704556547.4694146,-0.29544345253058546,-0.04118945411980468
2024-12-24,705413204.305786,-0.294586795694214,-0.04002365470758806
2024-12-26,707717878.544668,-0.29228212145533206,-0.036887290461176225
2024-12-27,707315951.1574349,-0.29268404884256505,-0.0374342617709188
2024-12-30,706371247.2055908,-0.29362875279440914,-0.038719881945787904
2025-01-02,704916396.2568396,-0.29508360374316034,-0.040699746354623145
2025-01-03,709064184.027202,-0.29093581597279794,-0.03505514242527141
2025-01-06,715377393.1013968,-0.2846226068986032,-0.026463679525060013
2025-01-07,713606740.0927416,-0.2863932599072584,-0.02887330978666336
2025-01-08,714995242.0008271,-0.2850047579991729,-0.02698373786056485
2025-01-09,716868037.0110538,-0.28313196298894616,-0.024435105515117517
2025-01-10,717111453.7761744,-0.28288854622382553,-0.02410384670802823
2025-01-13,711600970.2355545,-0.28839902976444554,-0.031602903739891275
2025-01-14,713572987.8427647,-0.2864270121572353,-0.028919242243527488
2025-01-15,713756865.2056974,-0.28624313479430263,-0.02866900887991497
2025-01-16,720784746.0455363,-0.27921525395446367,-0.01910496992714461
2025-01-17,722778535.1617073,-0.2772214648382927,-0.01639168021645765
