date,portfolio_value,cumulative_return,drawdown
2021-12-15,100000000.0,0.0,0.0
2021-12-16,100792870.4034799,0.007928704034799,0.0
2021-12-17,100350064.00509438,0.0035006400509438,-0.0043932313527033084
2021-12-20,99653927.125,-0.0034607287500001,-0.011299839700175673
2021-12-21,100210391.4801348,0.0021039148013481,-0.005778969494701469
2021-12-22,100439284.30163407,0.0043928430163409,-0.0035080467540055116
2021-12-23,100640197.32799856,0.0064019732799855,-0.0015147209804640127
2021-12-24,101062779.1699784,0.0106277916997841,0.0
2021-12-27,101017179.6746406,0.0101717967464058,-0.00045119969698348417
2021-12-28,101731107.00448462,0.0173110700448462,0.0
2021-12-29,101663736.05026716,0.0166373605026715,-0.0006622453662525896
2021-12-30,101359685.854531,0.0135968585453101,-0.0036510086333498837
2022-01-03,101441198.37798329,0.0144119837798328,-0.00284975397435272
2022-01-04,101523966.01530072,0.0152396601530071,-0.0020361617531082787
2022-01-05,101125160.39502424,0.0112516039502423,-0.005956355212311526
2022-01-06,99847795.188199,-0.0015220481180098,-0.01851264447758938
2022-01-07,100342016.0466977,0.003420160466977,-0.013654534966632048
2022-01-10,99890332.86501932,-0.0010966713498067,-0.018094506131582255
2022-01-11,99729933.59596038,-0.0027006640403962,-0.01967120448650994
2022-01-12,100563581.4196144,0.0056358141961441,-0.01147658390091788
2022-01-13,100481508.8156342,0.004815088156342,-0.012283344059111911
2022-01-14,99524016.69328204,-0.0047598330671796,-0.02169533367119747
2022-01-17,99221329.94643316,-0.0077867005356683,-0.024670694460651288
2022-01-18,98836667.00190105,-0.0116333299809896,-0.028451867750303617
2022-01-19,98114104.57842068,-0.0188589542157933,-0.03555453717715362
2022-01-20,98325628.65244754,-0.0167437134755246,-0.03347529042308528
2022-01-21,97585730.15646476,-0.0241426984353523,-0.04074837058282599
2022-01-24,97078158.00828968,-0.0292184199171031,-0.045737721068835224
2022-01-25,96228824.73618308,-0.037711752638169,-0.05408652702519978
2022-01-26,96213445.28312308,-0.0378655471687692,-0.054237704511741036
2022-01-27,94842977.24731822,-0.0515702275268177,-0.06770917922737973
2022-01-28,96016758.86997366,-0.0398324113002633,-0.05617109950704713
2022-02-03,97721113.65359642,-0.0227888634640358,-0.0394175731392703
2022-02-04,97445060.30541588,-0.0255493969458413,-0.04213113201333585
2022-02-07,97057907.75407122,-0.0294209224592878,-0.0459367777272629
2022-02-08,96673689.9400616,-0.0332631005993839,-0.049713575457309034
2022-02-09,97480759.64389849,-0.0251924035610151,-0.04178021340511673
2022-02-10,97983079.63527492,-0.0201692036472507,-0.03684249075402746
2022-02-11,96792969.68283676,-0.0320703031716324,-0.048541075262556355
2022-02-14,96383302.64898004,-0.0361669735101994,-0.05256803462552351
2022-02-15,96370605.09531136,-0.0362939490468864,-0.05269284948346187
2022-02-16,96913965.40728275,-0.0308603459271723,-0.047351707251052644
2022-02-17,97092984.43822052,-0.0290701556177948,-0.04559197970842532
2022-02-18,96696566.9571973,-0.033034330428027,-0.049488698152723276
2022-02-21,96196892.97403282,-0.0380310702596717,-0.05440041097958204
2022-02-22,95552196.82574151,-0.0444780317425848,-0.06073766776636691
2022-02-23,95831096.8452269,-0.0416890315477309,-0.05799612658296971
2022-02-24,94768874.19782616,-0.0523112580217384,-0.06843759997963594
2022-02-25,95529079.95028758,-0.0447092004971242,-0.0609649028386533
2022-02-28,95974818.4212624,-0.0402518157873759,-0.0565833671992626
2022-03-02,96491824.0980954,-0.035081759019046,-0.0515012866827278
