date,portfolio_value,cumulative_return,drawdown
2024-07-09,922876200.0,-0.07712379999999996,0.0
2024-07-10,924278659.8031896,-0.07572134019681032,0.0
2024-07-11,927878637.3755236,-0.07212136262447644,0.0
2024-07-12,920184513.9772127,-0.07981548602278732,-0.008292165686747066
2024-07-15,924988958.6262169,-0.07501104137378312,-0.0031142852447600955
2024-07-16,926668081.895851,-0.07333191810414896,-0.0013046485078012093
2024-07-17,920240846.2753437,-0.07975915372465636,-0.0082314548395932
2024-07-18,914468574.0922484,-0.08553142590775153,-0.0144523892922086
2024-07-19,909432592.1228335,-0.09056740787716655,-0.01987980379078902
2024-07-22,902642452.4340749,-0.09735754756592507,-0.027197721690013776
2024-07-23,906521079.0816346,-0.0934789209183654,-0.02301762044473632
2024-07-24,903245835.0039526,-0.09675416499604739,-0.026547439912232518
2024-07-25,889411389.6601201,-0.11058861033987988,-0.04145719727334907
2024-07-26,890246007.8589758,-0.10975399214102421,-0.04055770658002278
2024-07-29,896367807.8250808,-0.10363219217491926,-0.03396007654575417
2024-07-30,891424254.5826707,-0.10857574541732928,-0.03928787809574208
2024-07-31,895559018.3544675,-0.1044409816455325,-0.034831730917387116
2024-08-01,897779605.9279481,-0.10222039407205186,-0.0324385433990696
2024-08-02,874763328.4836291,-0.12523667151637086,-0.057243810507513704
2024-08-05,833458644.4833546,-0.1665413555166454,-0.10175898990328425
2024-08-06,847874225.6149354,-0.15212577438506458,-0.08622292672550169
2024-08-07,856160429.8057145,-0.1438395701942855,-0.0772926594933383
2024-08-08,849964624.1386487,-0.1500353758613513,-0.08397004748083459
2024-08-09,858156187.1304704,-0.14184381286952963,-0.07514177763835683
2024-08-12,865509007.4921877,-0.13449099250781227,-0.06721744350074321
2024-08-13,866440063.3557446,-0.13355993664425536,-0.06621401931782378
2024-08-14,872518676.1887281,-0.12748132381127186,-0.059662933229478576
2024-08-16,886482855.833227,-0.11351714416677294,-0.04461335769016439
2024-08-19,877224709.3544756,-0.1227752906455244,-0.05459111351493229
2024-08-20,883678055.1405208,-0.11632194485947922,-0.047636167548832375
2024-08-21,883481425.3082644,-0.11651857469173565,-0.04784808085768133
2024-08-22,883712033.2420695,-0.11628796675793052,-0.047599548426266125
